quarks,B,S,J,status,dE,priority
uddds,1.6666666666666667,-1,0.5,Allowed,-0.0013524999999998677,0.0013524999999998677
dddds,1.6666666666666667,-1,0.5,Allowed,-0.0013524999999998677,0.0013524999999998677
uudds,1.6666666666666667,-1,0.5,Allowed,-0.0013524999999998677,0.0013524999999998677
uuuds,1.6666666666666667,-1,0.5,Allowed,-0.0013524999999998677,0.0013524999999998677
uuuus,1.6666666666666667,-1,0.5,Allowed,-0.0013524999999998677,0.0013524999999998677
SSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
sSSSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
uDSSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
uUSSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
dDSSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
dUSSSS,-1.3333333333333333,4,0.0,Allowed,-0.007728999999999875,0.007728999999999875
dssssU,1.3333333333333333,-4,2.0,Allowed,-0.013614999999999933,0.013614999999999933
ussssD,1.3333333333333333,-4,2.0,Allowed,-0.013614999999999933,0.013614999999999933
ussssU,1.3333333333333333,-4,2.0,Allowed,-0.013614999999999933,0.013614999999999933
ssss,1.3333333333333333,-4,2.0,Allowed,-0.013614999999999933,0.013614999999999933
dssssD,1.3333333333333333,-4,2.0,Allowed,-0.013614999999999933,0.013614999999999933
UUUUS,-1.6666666666666667,1,1.5,Allowed,-0.019991499999999718,0.019991499999999718
UUUDS,-1.6666666666666667,1,1.5,Allowed,-0.019991499999999718,0.019991499999999718
DDDDS,-1.6666666666666667,1,1.5,Allowed,-0.019991499999999718,0.019991499999999718
UUDDS,-1.6666666666666667,1,1.5,Allowed,-0.019991499999999718,0.019991499999999718
