quarks,B,S,J,status,dE
uu,0.6666666666666666,0,0.0,Allowed,-0.16076499999999982
uu,0.6666666666666666,0,1.0,Energy,0.08742800000000028
ud,0.6666666666666666,0,0.0,Allowed,-0.16076499999999982
ud,0.6666666666666666,0,1.0,Energy,0.08742800000000028
us,0.6666666666666666,-1,0.0,Allowed,-0.2725989999999999
us,0.6666666666666666,-1,1.0,Allowed,-0.024405999999999706
uc,0.6666666666666666,0,0.0,Allowed,-97.802765
uc,0.6666666666666666,0,1.0,Allowed,-97.554572
ub,0.6666666666666666,0,0.0,Allowed,-94.902765
ub,0.6666666666666666,0,1.0,Allowed,-94.654572
uU,0.0,0,0.0,Energy,0.5391349999999999
uU,0.0,0,1.0,Energy,0.787328
uD,0.0,0,0.0,Energy,0.5391349999999999
uD,0.0,0,1.0,Energy,0.787328
uS,0.0,1,0.0,Energy,0.650969
uS,0.0,1,1.0,Energy,0.899162
uC,0.0,0,0.0,Allowed,-97.900865
uC,0.0,0,1.0,Allowed,-97.652672
uB,0.0,0,0.0,Allowed,-95.000865
uB,0.0,0,1.0,Allowed,-94.752672
dd,0.6666666666666666,0,0.0,Allowed,-0.16076499999999982
dd,0.6666666666666666,0,1.0,Energy,0.08742800000000028
ds,0.6666666666666666,-1,0.0,Allowed,-0.2725989999999999
ds,0.6666666666666666,-1,1.0,Allowed,-0.024405999999999706
dc,0.6666666666666666,0,0.0,Allowed,-97.802765
dc,0.6666666666666666,0,1.0,Allowed,-97.554572
db,0.6666666666666666,0,0.0,Allowed,-94.902765
db,0.6666666666666666,0,1.0,Allowed,-94.654572
dU,0.0,0,0.0,Energy,0.5391349999999999
dU,0.0,0,1.0,Energy,0.787328
dD,0.0,0,0.0,Energy,0.5391349999999999
dD,0.0,0,1.0,Energy,0.787328
dS,0.0,1,0.0,Energy,0.650969
dS,0.0,1,1.0,Energy,0.899162
dC,0.0,0,0.0,Allowed,-97.900865
dC,0.0,0,1.0,Allowed,-97.652672
dB,0.0,0,0.0,Allowed,-95.000865
dB,0.0,0,1.0,Allowed,-94.752672
ss,0.6666666666666666,-2,0.0,Allowed,-0.3844329999999998
ss,0.6666666666666666,-2,1.0,Allowed,-0.1362399999999998
sc,0.6666666666666666,-1,0.0,Allowed,-97.914599
sc,0.6666666666666666,-1,1.0,Allowed,-97.666406
sb,0.6666666666666666,-1,0.0,Allowed,-95.014599
sb,0.6666666666666666,-1,1.0,Allowed,-94.766406
sU,0.0,-1,0.0,Energy,0.42730099999999993
sU,0.0,-1,1.0,Energy,0.6754939999999999
sD,0.0,-1,0.0,Energy,0.42730099999999993
sD,0.0,-1,1.0,Energy,0.6754939999999999
sS,0.0,0,0.0,Energy,0.5391349999999999
sS,0.0,0,1.0,Energy,0.787328
sC,0.0,-1,0.0,Allowed,-98.012699
sC,0.0,-1,1.0,Allowed,-97.764506
sB,0.0,-1,0.0,Allowed,-95.112699
sB,0.0,-1,1.0,Allowed,-94.864506
cc,0.6666666666666666,0,0.0,Allowed,-96.602765
cc,0.6666666666666666,0,1.0,Allowed,-96.354572
cb,0.6666666666666666,0,0.0,Allowed,-93.622765
cb,0.6666666666666666,0,1.0,Allowed,-93.374572
cU,0.0,0,0.0,Allowed,-97.900865
cU,0.0,0,1.0,Allowed,-97.652672
cD,0.0,0,0.0,Allowed,-97.900865
cD,0.0,0,1.0,Allowed,-97.652672
cS,0.0,1,0.0,Allowed,-97.789031
cS,0.0,1,1.0,Allowed,-97.540838
cC,0.0,0,0.0,Energy,0.14213499999999968
cC,0.0,0,1.0,Energy,0.39032800000000023
cB,0.0,0,0.0,Allowed,-93.720865
cB,0.0,0,1.0,Allowed,-93.472672
bb,0.6666666666666666,0,0.0,Allowed,-90.882765
bb,0.6666666666666666,0,1.0,Allowed,-90.634572
bU,0.0,0,0.0,Allowed,-95.000865
bU,0.0,0,1.0,Allowed,-94.752672
bD,0.0,0,0.0,Allowed,-95.000865
bD,0.0,0,1.0,Allowed,-94.752672
